seed,arm,key,disease,dice,precision,recall,tp,fp,fn
2027,m4_a1_e4,train/222_D.png,D,0.263677717260734,0.18741532214178216,0.4445878812699204,49937,216514,62385
2027,m4_a1_e4,train/421_G.png,G,0.8093395052917066,0.8189193650444304,0.7999811875999409,297669,65821,74426
2027,m4_a1_e4,train/442_G.png,G,0.5458338837742175,0.5245664803148572,0.5688986378376325,119822,108599,90799
2027,m4_a1_e4,train/453_N.png,N,0.7229522326641828,0.7654628097713772,0.6849149443938108,260017,79669,119617
2027,m4_a1_e4,train/489_N.png,N,0.8554050347535808,0.9175813766576727,0.8011202305619949,319667,28713,79358
2027,m4_a1_e4,train/8_A.png,A,0.7275599233242597,0.8551665629289837,0.6330910502545393,200593,33973,116254
2027,m2_a1_e2,train/138_A.png,A,0.6263866972222443,0.7848832010174578,0.5211479465611084,157986,43300,145164
2027,m2_a1_e2,train/177_D.png,D,0.8287515300245706,0.871334119603745,0.790137085281898,275569,40692,73192
2027,m2_a1_e2,train/222_D.png,D,0.33386763363519734,0.2577454897687371,0.47379854347322875,53218,153257,59104
2027,m2_a1_e2,train/421_G.png,G,0.8297901788185794,0.8554469572661768,0.805627595103401,299770,50655,72325
2027,m2_a1_e2,train/442_G.png,G,0.5924520467920957,0.602611509696175,0.5826294623992859,122714,80923,87907
2027,m2_a1_e2,train/453_N.png,N,0.7662146876249784,0.7678738191043845,0.7645627104000169,290254,87743,89380
2027,m2_a1_e2,train/489_N.png,N,0.8553895605800489,0.8920390388837949,0.821632729778836,327852,39679,71173
2027,m2_a1_e2,train/8_A.png,A,0.7479406323411597,0.875809990089533,0.6526525420786689,206791,29323,110056
2027,m2_a4_e8,train/138_A.png,A,0.5602032169758323,0.6507558197905617,0.4917730496453901,149081,80008,154069
2027,m2_a4_e8,train/177_D.png,D,0.786898981881668,0.8394810919043316,0.7405157113324025,258263,49383,90498
2027,m2_a4_e8,train/222_D.png,D,0.21633414440373872,0.1501772099375875,0.38667402645964283,43432,245773,68890
